Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-3.24159650053057E-07,-2.77555756156289E-17,-0.0880190321011237,0,0,0,1.60871892135771,0.003820857251224,-5.45945661495239E-17,-1.03129716330073E-08,0.0038208610045686,7.20214372703818E-20,0.0070632727871881,0,0,0,0,0,0,package://robot/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/base_link.STL,,4_banh_ommi-1;TFF-M3x55_DR125.step-3;TFF-M3x55_DR125.step-1;TFF-M3x55_DR125.step-4;tang2-1;TFF-M3x55_DR125.step-2,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel1,9.15333442930155E-08,1.59477313360634E-06,-0.0131999999356674,0,0,0,0.042746824244381,3.36135178077625E-06,1.54604789471726E-10,2.77423227933973E-09,3.36403756201209E-06,-1.59203332727708E-10,6.22807467011582E-06,0,0,0,0,0,0,package://robot/meshes/wheel1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot/meshes/wheel1.STL,,58mm Plastic Omni Wheel.stp-1,wheel1,w1,w1,continuous,0.0947487373415291,-0.0947487373415291,-0.113000000000001,1.5707963267949,0,0.785398163397449,base_link,0,0,1,,,,,,,,,,,,
wheel2,-1.5186624369723E-06,-4.97499993673545E-07,-0.0132000003443727,0,0,0,0.042746746732454,3.36378005144439E-06,7.99667395102913E-10,-8.65370568767186E-10,3.36160016169437E-06,2.64175257117796E-09,6.22806845662569E-06,0,0,0,0,0,0,package://robot/meshes/wheel2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot/meshes/wheel2.STL,,58mm Plastic Omni Wheel.stp-2,wheel2,w2,w2,continuous,-0.0947487373415291,-0.0947487373415293,-0.113000000000001,1.5707963267949,0,-0.785398163397448,base_link,0,0,1,,,,,,,,,,,,
wheel3,-1.5186624369723E-06,-4.97499993395989E-07,-0.0132000003443732,0,0,0,0.0427467467324529,3.36378005144432E-06,7.9966739517272E-10,-8.65370568723775E-10,3.36160016169408E-06,2.64175257117659E-09,6.22806845662532E-06,0,0,0,0,0,0,package://robot/meshes/wheel3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot/meshes/wheel3.STL,,58mm Plastic Omni Wheel.stp-3,wheel3,w3,w3,continuous,-0.0947487373415292,0.0947487373415291,-0.113000000000001,1.5707963267949,0,-2.35619449019234,base_link,0,0,1,,,,,,,,,,,,
wheel4,1.51866243794374E-06,-4.97499993756811E-07,-0.0131999996556265,0,0,0,0.0427467467324521,3.36378005144439E-06,-7.99667395214163E-10,-8.65370568688306E-10,3.36160016169371E-06,-2.64175257118652E-09,6.22806845662503E-06,0,0,0,0,0,0,package://robot/meshes/wheel4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot/meshes/wheel4.STL,,58mm Plastic Omni Wheel.stp-4,wheel4,w4,w4,continuous,0.0947487373415292,0.0947487373415291,-0.113000000000001,1.5707963267949,0,2.35619449019235,base_link,0,0,1,,,,,,,,,,,,
imu,-0.000237422999172746,2.77555756156289E-17,-0.001,0,0,0,0.000439284959209477,1.50955731169331E-08,2.38882762932243E-24,-1.54040723224667E-25,5.58151944387461E-09,-6.14126907227878E-40,2.03842359213347E-08,0,0,0,0,0,0,package://robot/meshes/imu.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/imu.STL,,imu-1,imu,Axis_i1,i1,fixed,0,0,-0.125000000000001,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lidar,1.38777878078145E-17,2.77555756156289E-17,0.0152861068638539,0,0,0,0.123870963964711,4.92663577068858E-05,-7.74522380922547E-21,2.52068420790648E-20,4.92663577068858E-05,4.23882838904869E-20,7.39146547768722E-05,0,0,0,0,0,0,package://robot/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/lidar.STL,,lidar-1,lidar,Axis_lid,lid,fixed,0,0,-0.0750000000000013,0,0,0,base_link,0,0,0,,,,,,,,,,,,
link1,2.48412401759879E-15,-4.55191440096314E-15,-0.00162723477860061,0,0,0,0.116804414860479,0.000572171931655429,-1.41766556077668E-19,-6.00624880609877E-18,0.000572171931655429,7.60841432878909E-19,9.74304354273411E-05,0,0,0,0,0,0,package://robot/meshes/link1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/link1.STL,,vit_me-2,link1,l1,l1,revolute,0,0,0.065585,0,0,0,base_link,0,0,1,0,0,-3.14,3.14,,,,,,,,
link2,-0.0349228721983776,-0.14396434922212,-0.0147534823513729,0,0,0,0.458991796854134,0.00242216820417491,-0.000524564061286107,-1.40064702922637E-05,0.000387194998867482,-5.77395916656126E-05,0.00273509553789468,0,0,0,0,0,0,package://robot/meshes/link2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/link2.STL,,canh_tay_robot-1;tay_gap-3;tay_gap-2;vong_bi-1,link2,l2,l2,prismatic,0,0,0,0,0,0,link1,0,0,1,0,0,-0.03,0.12,,,,,,,,
camera,6.36990460378684E-15,-5.55111512312578E-15,0.002558316648482,0,0,0,0.0463868741534741,1.31363582155223E-05,9.94057299719922E-07,1.07492779989655E-21,1.6993070822516E-05,8.65212585410455E-22,2.85962767706782E-05,0,0,0,0,0,0,package://robot/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot/meshes/camera.STL,,camera-1,camera,Axis_cam,cam,fixed,-0.0353614486486953,-0.145772315442493,-0.0234999999999997,0,0,0,link2,0,0,0,,,,,,,,,,,,
